05-12;Domicela,Domicjan,Domicjana,Dominik,Epifani,Flawia,German,Jan,Jazon,Joanna,Nawoja,Pankracy,Wszemił
05-13;Agnieszka,Andrzej,Jędrzej,Aron,Ciechosław,Dobiesław,Dobiesława,Dobosława,Gemma,Gloria,Magdalena,Natalis,Robert,Serwacy
05-14;Ampeliusz,Ampelia,Bonifacy,Fenenna,Izydor,Jeremiasz,Koryna,Maciej,Stefania,Wiktor
05-15;Atanazy,Cecyliusz,Czcibora,Dionizja,Florencjusz,Florenty,Izydor,Jan,Kasjusz,Nadzieja,Nadia,Piotr,Strzeżysław,Zofia
05-16;Andrzej,Jędrzej,Fidol,Germeriusz,Honorat,JanNepomucen,Rambert,Szymon,Trzebomysł,Ubald,Wiktorian,Wiktoriana,Wiktorianna
05-17;Bruno,Herakliusz,Montan,Paschalis,Sławomir,Weronika,Wiktor
05-18;Aleksander,Aleksandra,Eryk,Feliks,Klaudia,Liboriusz,Myślibor,Teodot,Wenancjusz
05-19;Augustyn,Bernarda,Celestyn,Iwo,Iwon,Kryspin,Mikołaj,Pękosław,Piotr,Potencjana,Potencjanna,Pudencjana,Pudencjanna
05-20;Anastazy,Asteriusz,Bazylides,Bernardyn,Bronimir,Bromir,Józefa,Saturnina,Świeciech,Teodor,Wiktoria
05-21;Jan,Krzysztof,Piotr,Przecława,Przedsława,Pudens,Rycheza,Ryksa,Teobald,Tymoteusz,Walenty,Wiktor
05-22;Emil,Helena,Jan,Julia,Krzesisława,Wiesław,Wiesława,Wisława
05-23;Budziwoj,Dezyderiusz,Dezydery,Emilia,Eufrozyna,Iwona,Jan,Michał,Symeon
05-24;Cieszysława,Jan,Joanna,Maria,Milena,Orion,Tomira,Wincenty,Zuzanna
05-25;Beda,Grzegorz,Imisława,Leon,Leona,Magda,Urban,Wenerand
05-26;Adalwin,Adalwina,Alwin,Alwina,Angelika,Emil,Ewelina,Filip,Paulina,Więcemił
05-27;Jan,Juliusz,Lucjan,Magdalena,Oliwer,Oliwier,Radowit
05-28;Augustyn,Emil,German,Heladiusz,Ignacy,Jaromir,Priam,Wiktor,Wilhelm
05-29;Bogusława,Ermentruda,Magdalena,Maksymilian,Maksymiliana,Maria,Teodor,Teodozja,Urszula
05-30;Andronik,Bazyli,Feliks,Ferdynand,Joanna,Sulimir,Żanna
05-31;Aniela,Ernesta,Ernestyna,Feliks,Kamila,Kancjan,Kancjanela,Kancjusz,Petronela,Petronia,Teodor
06-01;Alfons,Bernard,Felin,Felina,Fortunat,Hannibal,Ischyrion,Jakub,Justyn,Juwencjusz,Juwencja,Konrad,Pamela,Symeon,Świętopełk,Teobald
06-02;Domna,Efrem,Erazm,Eugeniusz,Florianna,Floriana,Fotyn,Marcelin,Maria,Marianna,Marzanna,Materna,Mikołaj,Nicefor,Piotr,Racisław,Trofima
06-03;Cecyliusz,Ferdynand,Klotylda,Konstantyn,Leszek,Owidiusz,Owidia,Paula,Tamara
06-04;Braturad,Dacjan,Franciszek,Gostmił,Karol,Karp,Niepełka,Saturnina,Skarbisław
06-05;Bonifacy,Dobrociech,Hildebrand,Hildebranda,Nikanor,Waleria,Walter,Zenaida
06-06;Benignus,Dominika,Kandyda,Klaudiusz,Laurenty,Norbert,Norberta,Paulina,Symeon,Więcerad
06-07;Anna,Hanna,Antoni,Ciechomir,Hadriana,Jarosław,Lukrecja,Paweł,Piotr,Robert,Wiesław,Wisław
06-08;Adriana,Karp,Maksym,Medard,Medarda,Seweryn,Wilhelm,Wyszesław
06-09;Anna,Hanna,Bertrand,Felicjan,Kalmir,Pelagia,Sylwester,Sylwestra
06-10;Apollo(n),Bogumił,Bogumiła,Edgar,Ingolf,Małgorzata,Mauryn,Wiktorian,Wiktoriana,Wiktorianna
06-11;Anastazy,Barnaba,Feliks,Radomił,Teodozja,Witomysł
06-12;Antonina,Celestyna,Czesław,Czesława,Ewa,Jan,Janina,Jarogniew,Jarogniewa,Kacper,Kasper,Leon,Leona,Mieczysław,Narcyz,Onufry,Piotr,Placyd,Tadeusz,Tadea,Władysław,Władysława,Wyszemir
06-13;Antoni,Chociemir,Herman,Lubowid,Lucjan,Rambert,Tobiasz
06-14;Bazylides,Eliza,Justyn,Ninogniew,Walerian
06-15;Abraham,Angelina,Bernard,Dula,Edburga,Jolanta,Leonida,Lotar,Nikifor,Wisława,Wit,Witold,Witosław
06-16;Alina,Aneta,Aubert,Aureusz,Benon,Benona,Budzimir,Cyryk,Jan,Justyna,Ludgarda
06-17;Adolf,Adolfa,Adrianna,Awit,Awita,Daria,Drogomysł,Franciszek,Gundolf,Gundulf,Hipacy,Izaura,Laura,Marcjan,Montan,Piotr,Radomił,Rajner,Waleriana
06-18;Amand,Amanda,Drohobysz,Efrem,Elżbieta,Emil,Gerwazy,Marek,Markusław,Miłobor,Paula
06-19;Borzysław,Eurydyka,Gerwazy,Grymilda,Julianna,Michalina,Odo,Protazy
06-20;Bogna,Bożena,Bratomir,Edburga,Florentyna,Franciszek,Gemma,Hektor,Jaktor,Michał,Rafał
06-21;Alicja,Alojza,Alojzy,Chloe,Demetria,Domamir,Lutfryd,Rudolf,Rudolfa,Rudolfina,Teodor
06-22;Achacy,Achacjusz,Agenor,Alban,Flawiusz,Innocenta,Innocenty,Paulina,Tomasz
06-23;Agrypina,Albin,Anna,Hanna,Edeltruda,Józef,Wanda,Zenon
06-24;Danuta,Emilia,Jan,Longin,Longina,Wilhelm
06-25;Antyd,Dorota,Eulogiusz,Febron,Febronia,Fiebrosław,Łucja,Prosper,Tolisława,Wilhelm
06-26;Dawid,Edburga,Jan,Jeremiasz,Maksencjusz,Maksanty,Paweł,Zdziwoj
06-27;Bożydar,Cyryl,Joanna,Włodzisław
06-28;Ekard,Heron,Ireneusz,Józef,Leon,Leona,Olga,Paweł,Plutarch,Zbrosław
06-29;Benedykta,Dalebor,Kasjusz,Paweł,Piotr
06-30;Bazyli,Ciechosława,Emilia,Ermentruda,Leon,Leona,Lucyna,Marcjalis,Teobald,Władysław,Władysława
07-01;Aaron,Bogusław,Domicjan,Domicjana,Ekard,Estera,Halina,Karolina,Klarysa,Marcin,Namir,Niegosława,Teodoryk
07-02;Bernardyn,Bożydar,Jagoda,Juda,Juwenalis,Martynian,Otto,Switun,Urban
07-03;Anatol,Heliodor,Jacek,Leon,Leona,Longin,Longina,Miłosław,Otto,Otton,Teodot
07-04;Aggeusz,Alfred,Aurelian,Berta,Elżbieta,Innocenty,Józef,Julian,Malwina,Odo,Odon,Ozeasz,Piotr,Teodor,Wielisław
07-05;Antoni,Bartłomiej,Filomena,Jakub,Marta,Michał,Przybywoj,Trofima,Wilhelm,Zoe
07-06;Agrypina,Chociebor,Dominik,Dominika,Gotard,Ignacja,Łucja,Nazaria,Niegosław,Zuzanna
07-07;Antoni,Benedykt,Cyryl,German,Kira,Metody,Pompejusz,Sędzisława,Wilibald
07-08;Adolf,Adolfa,Adrian,Chwalimir,Edgar,Eugeniusz,Kilian,Kiliana,Odeta,Piotr,Prokop,Teobald,Wirginia
07-09;Adolfina,Anatolia,Anatola,Barbara,Florianna,Floriana,Joanna,Kornel,Korneli,Korneliusz,Łucja,Mikołaj,Patrycjusz,Róża,Sylwia,Teodoryk,Weronika,Wszebąd,Zenon,Zenona
07-10;Aleksander,Amalberga,Aniela,Askaniusz,Engelbert,Filip,January,Rufina,Rzędziwoj,Samson,Sylwan,Witalis,Zacheusz
07-11;Benedykt,Kalina,Karina,Karyna,Olga,Oliwer,Oliwier,Pelagia,Pius,Placyd,Sawin,Siepraw,Wyszesława,Zybert,Zybart,Zybracht,Zygbert
07-12;Andrzej,Jędrzej,Epifania,Euzebiusz,Feliks,Gwalbert,Henryk,Himisław,Imisław,JanGwalbert,Leon,Leona,Natan,Paweł,Weronika
07-13;Ernest,Eugeniusz,Ezdrasz,Henryk,Jakub,Joel,Justyna,Małgorzata,Radomiła,Sara,Trofima
07-14;Bonawentura,Damian,Dobrogost,Franciszek,Izabela,Kamil,Kosma,Marceli,Marcelin,Marcelina,Tuskana,Ulryk,Ulryka,Wincenty
07-15;Anna,Hanna,Daniel,Dawid,Egon,Ignacy,Lubomysł,Niecisław,Roksana,Włodzimierz
07-16;Andrzej,Jędrzej,Benedykt,Dziersław,Dzierżysław,Ermegarda,Irmegarda,Eustachy,Faust,Stefan
07-17;Aleksander,Aleksja,Aleksy,Andrzej,Jędrzej,Aneta,Benon,Benona,Bogdan,Donald,Donata,Dzierżykraj,Jadwiga,Januaria,Karolina,Konstancja,Leon,Leona,Marceli,Marcelina,Tarsycja
07-18;Arnold,Arnulf,Arnolf,Erwin,Matern,Robert,Szymon,Teodozja,Unisław,Wespazjan
07-19;Alfred,Arseniusz,Lutobor,Litobor,Marcin,Piotr,Rufin,Wincenty,Zdziesuł
07-20;Czesław,Czesława,Eliasz,Heliasz,Hieronim,Leon,Leona,Ludwika,Małgorzata,Paweł,Sewera,Stojsław,Stoisław,Stosław,Tosław
07-21;Andrzej,Jędrzej,Arbogast,Benedykt,Daniel,Ignacy,Klaudiusz,Paulina,Prakseda,Prokop,Rymwid,Wiktor
07-22;Albin,Bolesława,Laurencjusz,Naczęsława,Pankracy,Stojsław,Stoisław,Stosław,Tosław,Wawrzyniec
07-23;Apolinaria,Apolinary,Bogna,Joanna,Żelisław
07-24;Antoni,Kinga,Krystyna,Krzesimir,Kunegunda,Olga,Wojciecha,Zyglinda
07-25;Alfons,Dariusz,Jakub,Krzysztof,Nieznamir,Olimpia,Rudolf,Rudolfa,Rudolfina,Walentyna
07-26;Anita,Anna,Hanna,Bartłomieja,Grażyna,Krystiana,Mirosława
07-27;Aureli,Julia,Laurenty,Lilia,Lilla,Natalia,Pantaleon,Stojsław,Stoisław,Stosław,Tosław,Wszebor
07-28;Achacy,Achacjusz,Ada,Alfonsa,Alfonsyna,Innocenty,Marcela,Pantaleon,Samson,Świętomir,Tymon,Tymona,Wiktor
07-29;Beatrycze,Cierpisław,Faustyn,Konstantyn,Lucyla,Lucyliusz,Maria,Marta,Olaf,Prosper,Serafina,Urban
07-30;Abdon,Julia,Julita,Ludmiła,Maryna,Piotr,Ubysław,Ubysława
07-31;Adam,Alfonsa,Alfonsyna,Beat,Demokryt,Emilian,Ernesta,German,Helena,Iga,Ignacy,Justyn,Ludomir
08-01;Alfons,Brodzisław,Justyn,Justyna,Konrad,Nadzieja,Nadia,Piotr,Rudolf,Rudolfa,Rudolfina,Wiara,Wiera
08-02;Edeltruda,Gustaw,Gustawa,Karina,Karyna,Maria,Stefan
08-03;Dalmacjusz,Lidia,Nikodem,Nikodema,Piotr,Symeon,Szczepan
08-04;Alfred,Arystarch,Dominik,Maria,Mironieg,Perpetua
08-05;Abel,Cyriak,Maria,Memiusz,Nonna,Oswald,Oswalda
08-06;Felicysym,Jakub,January,Namir,Stefan,Wincenty
08-07;Albert,Andromeda,Dobiemir,Dorota,Doryda,Kajetan,Klaudia,Konrad,Licynia,Licyniusz,Sykstus
08-08;Cyriak,Cyryl,Dominik,Emilian,Joanna,Niegosław,Niezamysł,Sylwiusz
08-09;Domicjan,Domicjana,Edyta,Jan,Klarysa,Miłorad,Roland,Roman,Romuald
08-10;Amadeusz,Amadea,Asteria,Bernard,Bogdan,Bożydar,Filomena,Hugona,Prochor,Wawrzyniec,Wirzchosław
08-11;Aleksander,Herman,Ligia,Lukrecja,Tyburcjusz,Tyburcy,Tyburcja,Włodzimierz,Zuzanna
08-12;Bądzsław,Fotyn,Hilaria,Klara,Lech,Leonida,Wiktoria
08-13;Adriana,Diana,Helena,Hipolit,Hipolita,Jan,Kasjan,Radomiła,Sekundyn,Wojbor
08-14;Alfred,Atanazja,Dobrowoj,Dobrowoja,Euzebiusz,Kalikst,Machabeusz,Majnard,Maksymilian,Maksymiliana,Ursycyn
